,NAMES,ID,PLAYING_ROLE
0,NM Coulter-Nile,http://www.espncricinfo.com/ci/content/player/261354.html,Bowler
1,JP Faulkner,http://www.espncricinfo.com/ci/content/player/270484.html,Bowling allrounder
2,JW Hastings,http://www.espncricinfo.com/ci/content/player/228622.html,Allrounder
3,JR Hazlewood,http://www.espncricinfo.com/ci/content/player/288284.html,Bowler
4,JM Holland,http://www.espncricinfo.com/ci/content/player/230368.html,Bowler
5,UT Khawaja,http://www.espncricinfo.com/ci/content/player/215155.html,Top-order batsman
6,NM Lyon,http://www.espncricinfo.com/ci/content/player/272279.html,Bowler
7,MR Marsh,http://www.espncricinfo.com/ci/content/player/272450.html,Top-order batsman
8,SPD Smith,http://www.espncricinfo.com/ci/content/player/267192.html,Allrounder
9,MS Wade,http://www.espncricinfo.com/ci/content/player/230193.html,Wicketkeeper batsman
10,DA Warner,http://www.espncricinfo.com/ci/content/player/219889.html,Opening batsman
11,JM Bird,http://www.espncricinfo.com/ci/content/player/215152.html,Bowler
12,AJ Doolan,http://www.espncricinfo.com/ci/content/player/233648.html,Wicketkeeper batsman
13,PJ Hughes,http://www.espncricinfo.com/ci/content/player/272364.html,Opening batsman
14,JL Pattinson,http://www.espncricinfo.com/ci/content/player/272465.html,Bowler
15,KW Richardson,http://www.espncricinfo.com/ci/content/player/272262.html,Bowler
16,JA Burns,http://www.espncricinfo.com/ci/content/player/326632.html,Batsman
17,GJ Maxwell,http://www.espncricinfo.com/ci/content/player/325026.html,Batting allrounder
18,MA Starc,http://www.espncricinfo.com/ci/content/player/311592.html,Bowler
19,A Zampa,http://www.espncricinfo.com/ci/content/player/379504.html,Bowler
20,MP Stoinis,http://www.espncricinfo.com/ci/content/player/325012.html,Middle-order batsman
21,GJ Bailey,http://www.espncricinfo.com/ci/content/player/4451.html,Top-order batsman
22,SM Boland,http://www.espncricinfo.com/ci/content/player/446548.html,Bowler
23,JM Mennie,http://www.espncricinfo.com/ci/content/player/439288.html,Bowler
24,AJ Tye,http://www.espncricinfo.com/ci/content/player/459508.html,Bowler
25,MJ Clarke,http://www.espncricinfo.com/ci/content/player/4578.html,Middle-order batsman
26,EJM Cowan,http://www.espncricinfo.com/ci/content/player/4531.html,Opening batsman
27,PJ Cummins,http://www.espncricinfo.com/ci/content/player/489889.html,Bowler
28,AC Agar,http://www.espncricinfo.com/ci/content/player/505120.html,Bowler
29,AJ Finch,http://www.espncricinfo.com/ci/content/player/5334.html,Top-order batsman
30,TM Head,http://www.espncricinfo.com/ci/content/player/530011.html,Middle-order batsman
31,MC Henriques,http://www.espncricinfo.com/ci/content/player/5961.html,Allrounder
32,CP Tremain,http://www.espncricinfo.com/ci/content/player/553800.html,Wicketkeeper batsman
33,DJ Worrall,http://www.espncricinfo.com/ci/content/player/557298.html,Bowler
34,BJ Haddin,http://www.espncricinfo.com/ci/content/player/5560.html,Bowler
35,RJ Harris,http://www.espncricinfo.com/ci/content/player/5779.html,Top-order batsman
36,JS Paris,http://www.espncricinfo.com/ci/content/player/501012.html,Wicketkeeper
37,SE Marsh,http://www.espncricinfo.com/ci/content/player/6683.html,Bowler
38,PM Nevill,http://www.espncricinfo.com/ci/content/player/6973.html,Allrounder
39,MG Johnson,http://www.espncricinfo.com/ci/content/player/6033.html,Opening batsman
40,SNJ O'Keefe,http://www.espncricinfo.com/ci/content/player/7069.html,Bowler
41,CJL Rogers,http://www.espncricinfo.com/ci/content/player/7388.html,Top-order batsman
42,PM Siddle,http://www.espncricinfo.com/ci/content/player/7898.html,Allrounder
