,NAMES,ID,PLAYING_ROLE
0,SCJ Broad,http://www.espncricinfo.com/ci/content/player/10617.html,Bowler
1,NRD Compton,http://www.espncricinfo.com/ci/content/player/11718.html,Opening batsman
2,AN Cook,http://www.espncricinfo.com/ci/content/player/11728.html,Opening batsman
3,LE Plunkett,http://www.espncricinfo.com/ci/content/player/19264.html,Bowler
4,SR Patel,http://www.espncricinfo.com/ci/content/player/18632.html,Allrounder
5,MJ Prior,http://www.espncricinfo.com/ci/content/player/18675.html,Wicketkeeper batsman
6,RS Bopara,http://www.espncricinfo.com/ci/content/player/10582.html,Middle-order batsman
7,JM Bairstow,http://www.espncricinfo.com/ci/content/player/297433.html,Middle-order batsman
8,GS Ballance,http://www.espncricinfo.com/ci/content/player/232438.html,Middle-order batsman
9,SW Billings,http://www.espncricinfo.com/ci/content/player/297628.html,Wicketkeeper batsman
10,LA Dawson,http://www.espncricinfo.com/ci/content/player/211855.html,Bowler
11,ST Finn,http://www.espncricinfo.com/ci/content/player/210283.html,Opening batsman
12,AD Hales,http://www.espncricinfo.com/ci/content/player/249866.html,Bowler
13,CJ Jordan,http://www.espncricinfo.com/ci/content/player/288992.html,Middle-order batsman
14,EJG Morgan,http://www.espncricinfo.com/ci/content/player/24598.html,Bowler
15,AU Rashid,http://www.espncricinfo.com/ci/content/player/244497.html,Middle-order batsman
16,JJ Roy,http://www.espncricinfo.com/ci/content/player/298438.html,Middle-order batsman
17,JWA Taylor,http://www.espncricinfo.com/ci/content/player/297635.html,Batsman
18,JM Vince,http://www.espncricinfo.com/ci/content/player/296597.html,Bowler
19,CR Woakes,http://www.espncricinfo.com/ci/content/player/247235.html,Batsman
20,A Lyth,http://www.espncricinfo.com/ci/content/player/251721.html,Opening batsman
21,SD Robson,http://www.espncricinfo.com/ci/content/player/272485.html,Allrounder
22,JC Tredwell,http://www.espncricinfo.com/ci/content/player/21646.html,Allrounder
23,ZS Ansari,http://www.espncricinfo.com/ci/content/player/349853.html,Wicketkeeper batsman
24,JC Buttler,http://www.espncricinfo.com/ci/content/player/308967.html,Top-order batsman
25,JE Root,http://www.espncricinfo.com/ci/content/player/303669.html,Allrounder
26,BA Stokes,http://www.espncricinfo.com/ci/content/player/311158.html,Allrounder
27,DJ Willey,http://www.espncricinfo.com/ci/content/player/308251.html,Bowler
28,MA Wood,http://www.espncricinfo.com/ci/content/player/351588.html,Bowler
29,JT Ball,http://www.espncricinfo.com/ci/content/player/414990.html,Bowler
30,TS Mills,http://www.espncricinfo.com/ci/content/player/459257.html,Top-order batsman
31,RJW Topley,http://www.espncricinfo.com/ci/content/player/461632.html,Batting allrounder
32,IJL Trott,http://www.espncricinfo.com/ci/content/player/47623.html,Bowler
33,BM Duckett,http://www.espncricinfo.com/ci/content/player/521637.html,Top-order batsman
34,MM Ali,http://www.espncricinfo.com/ci/content/player/8917.html,Allrounder
