,NAMES,ID,PLAYING_ROLE
0,R Ashwin,http://www.espncricinfo.com/ci/content/player/26421.html,Bowling allrounder
1,STR Binny,http://www.espncricinfo.com/ci/content/player/27223.html,Allrounder
2,R Dhawan,http://www.espncricinfo.com/ci/content/player/290727.html,Allrounder
3,S Dhawan,http://www.espncricinfo.com/ci/content/player/28235.html,Opening batsman
4,MS Dhoni,http://www.espncricinfo.com/ci/content/player/28081.html,Wicketkeeper batsman
5,G Gambhir,http://www.espncricinfo.com/ci/content/player/28763.html,Top-order batsman
6,RA Jadeja,http://www.espncricinfo.com/ci/content/player/234675.html,Allrounder
7,KM Jadhav,http://www.espncricinfo.com/ci/content/player/290716.html,Batsman
8,V Kohli,http://www.espncricinfo.com/ci/content/player/253802.html,Middle-order batsman
9,DS Kulkarni,http://www.espncricinfo.com/ci/content/player/277955.html,Bowler
10,MK Pandey,http://www.espncricinfo.com/ci/content/player/290630.html,Top-order batsman
11,AM Rahane,http://www.espncricinfo.com/ci/content/player/277916.html,Top-order batsman
12,WP Saha,http://www.espncricinfo.com/ci/content/player/279810.html,Wicketkeeper batsman
13,I Sharma,http://www.espncricinfo.com/ci/content/player/236779.html,Bowler
14,M Vijay,http://www.espncricinfo.com/ci/content/player/237095.html,Opening batsman
15,Harbhajan Singh,http://www.espncricinfo.com/ci/content/player/29264.html,Bowler
16,FY Fazal,http://www.espncricinfo.com/ci/content/player/28671.html,Opening batsman
17,B Kumar,http://www.espncricinfo.com/ci/content/player/326016.html,Bowler
18,Mandeep Singh,http://www.espncricinfo.com/ci/content/player/398506.html,Allrounder
19,A Mishra,http://www.espncricinfo.com/ci/content/player/31107.html,Bowler
20,CA Pujara,http://www.espncricinfo.com/ci/content/player/32540.html,Top-order batsman
21,AT Rayudu,http://www.espncricinfo.com/ci/content/player/33141.html,Middle-order batsman
22,RG Sharma,http://www.espncricinfo.com/ci/content/player/34102.html,Middle-order batsman
23,UT Yadav,http://www.espncricinfo.com/ci/content/player/376116.html,Bowler
24,VR Aaron,http://www.espncricinfo.com/ci/content/player/360911.html,Bowler
25,PP Chawla,http://www.espncricinfo.com/ci/content/player/32966.html,Allrounder
26,Z Khan,http://www.espncricinfo.com/ci/content/player/30102.html,Bowler
27,NV Ojha,http://www.espncricinfo.com/ci/content/player/32102.html,Wicketkeeper batsman
28,PP Ojha,http://www.espncricinfo.com/ci/content/player/32130.html,Bowler
29,Pankaj Singh,http://www.espncricinfo.com/ci/content/player/32973.html,Bowler
30,SK Raina,http://www.espncricinfo.com/ci/content/player/33335.html,Middle-order batsman
31,V Sehwag,http://www.espncricinfo.com/ci/content/player/35263.html,Top-order batsman
32,KV Sharma,http://www.espncricinfo.com/ci/content/player/30288.html,Bowler
33,SR Tendulkar,http://www.espncricinfo.com/ci/content/player/35320.html,Top-order batsman
34,Yuvraj Singh,http://www.espncricinfo.com/ci/content/player/36084.html,Middle-order batsman
35,KK Nair,http://www.espncricinfo.com/ci/content/player/398439.html,Top-order batsman
36,KD Karthik,http://www.espncricinfo.com/ci/content/player/30045.html,Wicketkeeper batsman
37,JD Unadkat,http://www.espncricinfo.com/ci/content/player/390484.html,Bowler
38,R Vinay Kumar,http://www.espncricinfo.com/ci/content/player/35731.html,Bowler
39,YS Chahal,http://www.espncricinfo.com/ci/content/player/430246.html,Bowler
40,Mohammed Shami,http://www.espncricinfo.com/ci/content/player/481896.html,Bowler
41,KL Rahul,http://www.espncricinfo.com/ci/content/player/422108.html,Wicketkeeper batsman
42,J Yadav,http://www.espncricinfo.com/ci/content/player/447587.html,Bowler
43,AR Patel,http://www.espncricinfo.com/ci/content/player/554691.html,Bowling allrounder
44,BB Sran,http://www.espncricinfo.com/ci/content/player/537126.html,Bowler
45,Gurkeerat Singh,http://www.espncricinfo.com/ci/content/player/537124.html,Middle-order batsman
46,MM Sharma,http://www.espncricinfo.com/ci/content/player/537119.html,Bowler
47,JJ Bumrah,http://www.espncricinfo.com/ci/content/player/625383.html,Bowler
48,HH Pandya,http://www.espncricinfo.com/ci/content/player/625371.html,Allrounder
