,NAMES,ID,PLAYING_ROLE
0,CJ Anderson,http://www.espncricinfo.com/ci/content/player/277662.html,Batting allrounder
1,TD Astle,http://www.espncricinfo.com/ci/content/player/213674.html,Middle-order batsman
2,TA Boult,http://www.espncricinfo.com/ci/content/player/277912.html,Bowler
3,MJ Guptill,http://www.espncricinfo.com/ci/content/player/226492.html,Opening batsman
4,C Munro,http://www.espncricinfo.com/ci/content/player/232359.html,Middle-order batsman
5,TG Southee,http://www.espncricinfo.com/ci/content/player/232364.html,Bowler
6,N Wagner,http://www.espncricinfo.com/ci/content/player/233713.html,Bowler
7,KS Williamson,http://www.espncricinfo.com/ci/content/player/277906.html,Top-order batsman
8,GH Worker,http://www.espncricinfo.com/ci/content/player/277911.html,Batting allrounder
9,HK Bennett,http://www.espncricinfo.com/ci/content/player/226493.html,Bowler
10,DAJ Bracewell,http://www.espncricinfo.com/ci/content/player/362541.html,Bowler
11,AP Devcich,http://www.espncricinfo.com/ci/content/player/36948.html,Opening batsman
12,TWM Latham,http://www.espncricinfo.com/ci/content/player/388802.html,Wicketkeeper batsman
13,MJ McClenaghan,http://www.espncricinfo.com/ci/content/player/319439.html,Bowler
14,BB McCullum,http://www.espncricinfo.com/ci/content/player/37737.html,Wicketkeeper batsman
15,NL McCullum,http://www.espncricinfo.com/ci/content/player/37749.html,Bowler
16,AW Mathieson,http://www.espncricinfo.com/ci/content/player/355267.html,Bowler
17,JDS Neesham,http://www.espncricinfo.com/ci/content/player/355269.html,Batting allrounder
18,JS Patel,http://www.espncricinfo.com/ci/content/player/38141.html,Middle-order batsman
19,LRPL Taylor,http://www.espncricinfo.com/ci/content/player/38699.html,Allrounder
20,DL Vettori,http://www.espncricinfo.com/ci/content/player/38710.html,Wicketkeeper batsman
21,BJ Watling,http://www.espncricinfo.com/ci/content/player/38924.html,Middle-order batsman
22,DR Flynn,http://www.espncricinfo.com/ci/content/player/37095.html,Allrounder
23,JEC Franklin,http://www.espncricinfo.com/ci/content/player/37004.html,Bowler
24,PG Fulton,http://www.espncricinfo.com/ci/content/player/37091.html,Bowler
25,BP Martin,http://www.espncricinfo.com/ci/content/player/37745.html,Top-order batsman
26,CS Martin,http://www.espncricinfo.com/ci/content/player/37700.html,Opening batsman
27,AJ Redmond,http://www.espncricinfo.com/ci/content/player/38264.html,Bowler
28,HD Rutherford,http://www.espncricinfo.com/ci/content/player/331375.html,Allrounder
29,KD Mills,http://www.espncricinfo.com/ci/content/player/37740.html,Bowler
30,JD Ryder,http://www.espncricinfo.com/ci/content/player/38373.html,Allrounder
31,MD Craig,http://www.espncricinfo.com/ci/content/player/497543.html,Bowler
32,GD Elliott,http://www.espncricinfo.com/ci/content/player/44956.html,Bowler
33,AF Milne,http://www.espncricinfo.com/ci/content/player/450860.html,Middle-order batsman
34,BM Wheeler,http://www.espncricinfo.com/ci/content/player/440523.html,Wicketkeeper batsman
35,DG Brownlie,http://www.espncricinfo.com/ci/content/player/4493.html,Bowler
36,CFK van Wyk,http://www.espncricinfo.com/ci/content/player/47780.html,Top-order batsman
37,MJ Henry,http://www.espncricinfo.com/ci/content/player/506612.html,Bowling allrounder
38,HM Nicholls,http://www.espncricinfo.com/ci/content/player/539511.html,Bowler
39,MJ Santner,http://www.espncricinfo.com/ci/content/player/502714.html,Wicketkeeper batsman
