,NAMES,ID,PLAYING_ROLE
0,Imad Wasim,http://www.espncricinfo.com/ci/content/player/227758.html,Allrounder
1,Mohammad Amir,http://www.espncricinfo.com/ci/content/player/290948.html,Bowler
2,Sarfraz Ahmed,http://www.espncricinfo.com/ci/content/player/227760.html,Wicketkeeper batsman
3,Shan Masood,http://www.espncricinfo.com/ci/content/player/233901.html,Opening batsman
4,Sharjeel Khan,http://www.espncricinfo.com/ci/content/player/227762.html,Opening batsman
5,Ahmed Shehzad,http://www.espncricinfo.com/ci/content/player/259410.html,Opening batsman
6,Junaid Khan,http://www.espncricinfo.com/ci/content/player/259551.html,Bowler
7,Mohammad Talha,http://www.espncricinfo.com/ci/content/player/227771.html,Bowler
8,Anwar Ali,http://www.espncricinfo.com/ci/content/player/232491.html,Bowler
9,Asad Shafiq,http://www.espncricinfo.com/ci/content/player/316397.html,Middle-order batsman
10,Azhar Ali,http://www.espncricinfo.com/ci/content/player/39037.html,Top-order batsman
11,Babar Azam,http://www.espncricinfo.com/ci/content/player/348144.html,Batsman
12,Mohammad Nawaz,http://www.espncricinfo.com/ci/content/player/348148.html,Allrounder
13,Mohammad Rizwan,http://www.espncricinfo.com/ci/content/player/323389.html,Batsman
14,Rahat Ali,http://www.espncricinfo.com/ci/content/player/323244.html,Bowler
15,Sohail Khan,http://www.espncricinfo.com/ci/content/player/317252.html,Bowler
16,Umar Akmal,http://www.espncricinfo.com/ci/content/player/317273.html,Middle-order batsman
17,Abdur Rehman,http://www.espncricinfo.com/ci/content/player/39091.html,Bowler
18,Adnan Akmal,http://www.espncricinfo.com/ci/content/player/39038.html,Wicketkeeper batsman
19,Bilawal Bhatti,http://www.espncricinfo.com/ci/content/player/343305.html,Bowler
20,Imran Khan,http://www.espncricinfo.com/ci/content/player/316363.html,Bowler
21,Hammad Azam,http://www.espncricinfo.com/ci/content/player/384518.html,Middle-order batsman
22,Zafar Gohar,http://www.espncricinfo.com/ci/content/player/348154.html,Bowler
23,Haris Sohail,http://www.espncricinfo.com/ci/content/player/318788.html,Middle-order batsman
24,Iftikhar Ahmed,http://www.espncricinfo.com/ci/content/player/480603.html,Middle-order batsman
25,Khalid Latif,http://www.espncricinfo.com/ci/content/player/41046.html,Top-order batsman
26,Misbah-ul-Haq,http://www.espncricinfo.com/ci/content/player/41378.html,Middle-order batsman
27,Mohammad Hafeez,http://www.espncricinfo.com/ci/content/player/41434.html,Allrounder
28,Mohammad Irfan,http://www.espncricinfo.com/ci/content/player/429981.html,Bowler
29,Mohammad Sami,http://www.espncricinfo.com/ci/content/player/41324.html,Bowler
30,Rumman Raees,http://www.espncricinfo.com/ci/content/player/448243.html,Bowler
31,Shahid Afridi,http://www.espncricinfo.com/ci/content/player/42639.html,Allrounder
32,Shoaib Malik,http://www.espncricinfo.com/ci/content/player/42657.html,Middle-order batsman
33,Sohail Tanvir,http://www.espncricinfo.com/ci/content/player/43265.html,Bowler
34,Umar Gul,http://www.espncricinfo.com/ci/content/player/43524.html,Bowler
35,Wahab Riaz,http://www.espncricinfo.com/ci/content/player/43590.html,Bowler
36,Yasir Shah,http://www.espncricinfo.com/ci/content/player/43685.html,Bowler
37,Younis Khan,http://www.espncricinfo.com/ci/content/player/43652.html,Middle-order batsman
38,Zulfiqar Babar,http://www.espncricinfo.com/ci/content/player/43871.html,Bowler
39,Khurram Manzoor,http://www.espncricinfo.com/ci/content/player/41140.html,Opening batsman
40,Saeed Ajmal,http://www.espncricinfo.com/ci/content/player/42699.html,Bowler
41,Taufeeq Umar,http://www.espncricinfo.com/ci/content/player/43363.html,Allrounder
42,Aamer Yamin,http://www.espncricinfo.com/ci/content/player/434429.html,Allrounder
43,Bilal Asif,http://www.espncricinfo.com/ci/content/player/498875.html,Middle-order batsman
44,Sohaib Maqsood,http://www.espncricinfo.com/ci/content/player/43266.html,Top-order batsman
45,Fawad Alam,http://www.espncricinfo.com/ci/content/player/40250.html,Opening batsman
46,Sami Aslam,http://www.espncricinfo.com/ci/content/player/547079.html,Bowler
