,NAMES,ID,PLAYING_ROLE
0,CK Kapugedera,http://www.espncricinfo.com/ci/content/player/209457.html,Middle-order batsman
1,FDM Karunaratne,http://www.espncricinfo.com/ci/content/player/227772.html,Opening batsman
2,SS Pathirana,http://www.espncricinfo.com/ci/content/player/212756.html,Allrounder
3,NLTC Perera,http://www.espncricinfo.com/ci/content/player/233514.html,Allrounder
4,S Prasanna,http://www.espncricinfo.com/ci/content/player/268740.html,Allrounder
5,SMSM Senanayake,http://www.espncricinfo.com/ci/content/player/273439.html,Bowler
6,TAM Siriwardana,http://www.espncricinfo.com/ci/content/player/222354.html,Allrounder
7,RMS Eranga,http://www.espncricinfo.com/ci/content/player/267414.html,Bowler
8,BAW Mendis,http://www.espncricinfo.com/ci/content/player/268739.html,Bowler
9,LD Chandimal,http://www.espncricinfo.com/ci/content/player/300628.html,Wicketkeeper batsman
10,N Pradeep,http://www.espncricinfo.com/ci/content/player/324358.html,Bowler
11,DAS Gunaratne,http://www.espncricinfo.com/ci/content/player/360456.html,Batsman
12,MD Gunathilaka,http://www.espncricinfo.com/ci/content/player/345821.html,Allrounder
13,AK Perera,http://www.espncricinfo.com/ci/content/player/300629.html,Allrounder
14,MDKJ Perera,http://www.espncricinfo.com/ci/content/player/300631.html,Wicketkeeper batsman
15,MDUS Jayasundera,http://www.espncricinfo.com/ci/content/player/345822.html,Top-order batsman
16,HDRL Thirimanne,http://www.espncricinfo.com/ci/content/player/301236.html,Top-order batsman
17,KDK Vithanage,http://www.espncricinfo.com/ci/content/player/342616.html,Middle-order batsman
18,KMC Bandara,http://www.espncricinfo.com/ci/content/player/362079.html,Bowler
19,JDF Vandersay,http://www.espncricinfo.com/ci/content/player/370040.html,Allrounder
20,MA Aponso,http://www.espncricinfo.com/ci/content/player/429748.html,Allrounder
21,DM de Silva,http://www.espncricinfo.com/ci/content/player/465793.html,Bowler
22,TM Dilshan,http://www.espncricinfo.com/ci/content/player/48472.html,Bowler
23,MVT Fernando,http://www.espncricinfo.com/ci/content/player/465783.html,Allrounder
24,HMRKB Herath,http://www.espncricinfo.com/ci/content/player/49178.html,Allrounder
25,RAS Lakmal,http://www.espncricinfo.com/ci/content/player/49619.html,Allrounder
26,MF Maharoof,http://www.espncricinfo.com/ci/content/player/49638.html,Bowler
27,AD Mathews,http://www.espncricinfo.com/ci/content/player/49764.html,Allrounder
28,MDK Perera,http://www.espncricinfo.com/ci/content/player/49920.html,Wicketkeeper batsman
29,CAK Rajitha,http://www.espncricinfo.com/ci/content/player/499594.html,Batsman
30,PADLR Sandakan,http://www.espncricinfo.com/ci/content/player/429738.html,Bowler
31,MD Shanaka,http://www.espncricinfo.com/ci/content/player/437316.html,Bowler
32,N Dickwella,http://www.espncricinfo.com/ci/content/player/429754.html,Bowler
33,DPMD Jayawardene,http://www.espncricinfo.com/ci/content/player/49289.html,Bowler
34,HAPW Jayawardene,http://www.espncricinfo.com/ci/content/player/49236.html,Wicketkeeper batsman
35,PHT Kaushal,http://www.espncricinfo.com/ci/content/player/465797.html,Batsman
36,J Mubarak,http://www.espncricinfo.com/ci/content/player/49633.html,Bowler
37,KMDN Kulasekara,http://www.espncricinfo.com/ci/content/player/49535.html,Bowler
38,SHT Kandamby,http://www.espncricinfo.com/ci/content/player/49363.html,Wicketkeeper batsman
39,SL Malinga,http://www.espncricinfo.com/ci/content/player/49758.html,Bowler
40,M Muralitharan,http://www.espncricinfo.com/ci/content/player/49636.html,Wicketkeeper batsman
