,NAMES,ID,PLAYING_ROLE
0,DM Bravo,http://www.espncricinfo.com/ci/content/player/277472.html,Top-order batsman
1,SP Narine,http://www.espncricinfo.com/ci/content/player/230558.html,Bowler
2,KA Pollard,http://www.espncricinfo.com/ci/content/player/230559.html,Allrounder
3,AD Russell,http://www.espncricinfo.com/ci/content/player/276298.html,Allrounder
4,V Permaul,http://www.espncricinfo.com/ci/content/player/274921.html,Bowler
5,KOA Powell,http://www.espncricinfo.com/ci/content/player/252932.html,Opening batsman
6,KAJ Roach,http://www.espncricinfo.com/ci/content/player/230553.html,Bowler
7,JN Mohammed,http://www.espncricinfo.com/ci/content/player/230549.html,Batsman
8,D Bishoo,http://www.espncricinfo.com/ci/content/player/341593.html,Bowler
9,KC Brathwaite,http://www.espncricinfo.com/ci/content/player/348024.html,Opening batsman
10,R Chandrika,http://www.espncricinfo.com/ci/content/player/316153.html,Opening batsman
11,J Charles,http://www.espncricinfo.com/ci/content/player/333066.html,Wicketkeeper batsman
12,RL Chase,http://www.espncricinfo.com/ci/content/player/391832.html,Bowling allrounder
13,JO Holder,http://www.espncricinfo.com/ci/content/player/391485.html,Wicketkeeper batsman
14,CAK Walton,http://www.espncricinfo.com/ci/content/player/315586.html,Allrounder
15,JL Carter,http://www.espncricinfo.com/ci/content/player/314615.html,Middle-order batsman
16,J Blackwood,http://www.espncricinfo.com/ci/content/player/431909.html,Allrounder
17,CR Brathwaite,http://www.espncricinfo.com/ci/content/player/457249.html,Wicketkeeper batsman
18,SO Dowrich,http://www.espncricinfo.com/ci/content/player/431905.html,Bowler
19,ST Gabriel,http://www.espncricinfo.com/ci/content/player/446101.html,Opening batsman
20,E Lewis,http://www.espncricinfo.com/ci/content/player/431901.html,Bowler
21,KOK Williams,http://www.espncricinfo.com/ci/content/player/450075.html,Bowler
22,SS Cottrell,http://www.espncricinfo.com/ci/content/player/495551.html,Bowler
23,JA Warrican,http://www.espncricinfo.com/ci/content/player/432214.html,Bowler
24,S Badree,http://www.espncricinfo.com/ci/content/player/51433.html,Bowler
25,SJ Benn,http://www.espncricinfo.com/ci/content/player/51248.html,Allrounder
26,DJ Bravo,http://www.espncricinfo.com/ci/content/player/51439.html,Bowler
27,ML Cummins,http://www.espncricinfo.com/ci/content/player/556749.html,Wicketkeeper batsman
28,ADS Fletcher,http://www.espncricinfo.com/ci/content/player/51862.html,Wicketkeeper batsman
29,SD Hope,http://www.espncricinfo.com/ci/content/player/581379.html,Middle-order batsman
30,LR Johnson,http://www.espncricinfo.com/ci/content/player/52280.html,Wicketkeeper batsman
31,D Ramdin,http://www.espncricinfo.com/ci/content/player/52917.html,Top-order batsman
32,MN Samuels,http://www.espncricinfo.com/ci/content/player/52983.html,Top-order batsman
33,LMP Simmons,http://www.espncricinfo.com/ci/content/player/53116.html,Bowler
34,JE Taylor,http://www.espncricinfo.com/ci/content/player/53191.html,Batsman
35,S Chanderpaul,http://www.espncricinfo.com/ci/content/player/51469.html,Batsman
36,N Deonarine,http://www.espncricinfo.com/ci/content/player/51659.html,Batsman
37,KA Edwards,http://www.espncricinfo.com/ci/content/player/51786.html,Allrounder
38,CH Gayle,http://www.espncricinfo.com/ci/content/player/51880.html,Batsman
39,KK Peters,http://www.espncricinfo.com/ci/content/player/52796.html,Bowler
40,S Shillingford,http://www.espncricinfo.com/ci/content/player/52997.html,Bowler
41,DS Smith,http://www.espncricinfo.com/ci/content/player/52962.html,Bowler
42,NO Miller,http://www.espncricinfo.com/ci/content/player/52622.html,Allrounder
43,R Rampaul,http://www.espncricinfo.com/ci/content/player/52912.html,Allrounder
44,DJG Sammy,http://www.espncricinfo.com/ci/content/player/53115.html,Bowler
45,DR Smith,http://www.espncricinfo.com/ci/content/player/53118.html,Wicketkeeper batsman
