,NAMES,ID,PLAYING_ROLE
0,RW Chakabva,http://www.espncricinfo.com/ci/content/player/293831.html,Wicketkeeper batsman
1,TS Chisoro,http://www.espncricinfo.com/ci/content/player/235519.html,Bowler
2,T Maruma,http://www.espncricinfo.com/ci/content/player/235524.html,Top-order batsman
3,PS Masvaure,http://www.espncricinfo.com/ci/content/player/232442.html,Wicketkeeper batsman
4,R Mutumbami,http://www.espncricinfo.com/ci/content/player/235516.html,Bowler
5,T Muzarabani,http://www.espncricinfo.com/ci/content/player/232444.html,Batting allrounder
6,Sikandar Raza,http://www.espncricinfo.com/ci/content/player/299572.html,Allrounder
7,TP Kamungozi,http://www.espncricinfo.com/ci/content/player/235521.html,Allrounder
8,KO Meth,http://www.espncricinfo.com/ci/content/player/232443.html,Bowler
9,BV Vitori,http://www.espncricinfo.com/ci/content/player/235514.html,Middle-order batsman
10,PJ Moor,http://www.espncricinfo.com/ci/content/player/333000.html,Allrounder
11,CT Mutombodzi,http://www.espncricinfo.com/ci/content/player/333001.html,Bowler
12,DT Tiripano,http://www.espncricinfo.com/ci/content/player/392945.html,Bowler
13,SW Masakadza,http://www.espncricinfo.com/ci/content/player/343529.html,Bowler
14,N M'shangwe,http://www.espncricinfo.com/ci/content/player/392944.html,Middle-order batsman
15,R Kaia,http://www.espncricinfo.com/ci/content/player/392946.html,Opening batsman
16,BB Chari,http://www.espncricinfo.com/ci/content/player/427178.html,Bowler
17,TL Chatara,http://www.espncricinfo.com/ci/content/player/425639.html,Allrounder
18,N Madziva,http://www.espncricinfo.com/ci/content/player/453289.html,Top-order batsman
19,CJ Chibhabha,http://www.espncricinfo.com/ci/content/player/55354.html,Allrounder
20,E Chigumbura,http://www.espncricinfo.com/ci/content/player/55343.html,Bowler
21,MT Chinouya,http://www.espncricinfo.com/ci/content/player/55353.html,Bowler
22,AG Cremer,http://www.espncricinfo.com/ci/content/player/55346.html,Middle-order batsman
23,CR Ervine,http://www.espncricinfo.com/ci/content/player/55412.html,Bowler
24,LM Jongwe,http://www.espncricinfo.com/ci/content/player/541224.html,Top-order batsman
25,H Masakadza,http://www.espncricinfo.com/ci/content/player/55608.html,Bowler
26,WP Masakadza,http://www.espncricinfo.com/ci/content/player/571703.html,Batsman
27,TMK Mawoyo,http://www.espncricinfo.com/ci/content/player/55597.html,Bowler
28,CB Mpofu,http://www.espncricinfo.com/ci/content/player/55633.html,Bowler
29,T Mupariwa,http://www.espncricinfo.com/ci/content/player/55652.html,Bowler
30,J Nyumbu,http://www.espncricinfo.com/ci/content/player/55666.html,Bowler
31,T Panyangara,http://www.espncricinfo.com/ci/content/player/55705.html,Opening batsman
32,V Sibanda,http://www.espncricinfo.com/ci/content/player/55787.html,Batsman
33,MN Waller,http://www.espncricinfo.com/ci/content/player/55872.html,Middle-order batsman
34,SC Williams,http://www.espncricinfo.com/ci/content/player/55870.html,Wicketkeeper batsman
35,BRM Taylor,http://www.espncricinfo.com/ci/content/player/55814.html,Bowler
36,P Utseya,http://www.espncricinfo.com/ci/content/player/55820.html,Top-order batsman
