,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,tied,0,,Bangalore,http://www.espncricinfo.com/ci/engine/match/433568.html,0
1,no result,0,,Chester-le-Street,http://www.espncricinfo.com/ci/engine/match/474477.html,0
2,England,1,7 wickets,Southampton,http://www.espncricinfo.com/ci/engine/match/474478.html,187
3,England,1,3 wickets,The Oval,http://www.espncricinfo.com/ci/engine/match/474479.html,234
4,tied,0,,Lord's,http://www.espncricinfo.com/ci/engine/match/474480.html,0
5,England,1,6 wickets,Cardiff,http://www.espncricinfo.com/ci/engine/match/474481.html,304
6,India,1,126 runs,Hyderabad (Deccan),http://www.espncricinfo.com/ci/engine/match/521218.html,300
7,India,2,8 wickets,Delhi,http://www.espncricinfo.com/ci/engine/match/521219.html,238
8,India,2,5 wickets,Mohali,http://www.espncricinfo.com/ci/engine/match/521220.html,300
9,India,2,6 wickets,Mumbai,http://www.espncricinfo.com/ci/engine/match/521221.html,223
10,India,1,95 runs,Kolkata,http://www.espncricinfo.com/ci/engine/match/521222.html,271
11,England,2,9 runs,Rajkot,http://www.espncricinfo.com/ci/engine/match/565812.html,316
12,India,1,127 runs,Kochi,http://www.espncricinfo.com/ci/engine/match/565813.html,285
13,India,2,7 wickets,Ranchi,http://www.espncricinfo.com/ci/engine/match/565814.html,157
14,India,2,5 wickets,Mohali,http://www.espncricinfo.com/ci/engine/match/565815.html,258
15,England,1,7 wickets,Dharamsala,http://www.espncricinfo.com/ci/engine/match/565816.html,226
16,India,1,5 runs,Birmingham,http://www.espncricinfo.com/ci/engine/match/566948.html,129
17,abandoned,0,,Bristol,http://www.espncricinfo.com/ci/engine/match/667721.html,0
18,India,1,133 runs,Cardiff,http://www.espncricinfo.com/ci/engine/match/667723.html,304
19,India,2,6 wickets,Nottingham,http://www.espncricinfo.com/ci/engine/match/667725.html,228
20,India,2,9 wickets,Birmingham,http://www.espncricinfo.com/ci/engine/match/667727.html,212
21,England,2,41 runs,Leeds,http://www.espncricinfo.com/ci/engine/match/667729.html,253
22,England,1,9 wickets,Brisbane,http://www.espncricinfo.com/ci/engine/match/754753.html,153
23,England,1,3 wickets,Perth,http://www.espncricinfo.com/ci/engine/match/754759.html,200
24,India,2,3 wickets,Pune,http://www.espncricinfo.com/ci/engine/match/1034819.html,356
