,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,New Zealand,2,200 runs,Dambulla,http://www.espncricinfo.com/ci/engine/match/456662.html,88
1,India,1,105 runs,Dambulla,http://www.espncricinfo.com/ci/engine/match/456665.html,223
2,India,1,40 runs,Guwahati,http://www.espncricinfo.com/ci/engine/match/467883.html,276
3,India,2,8 wickets,Jaipur,http://www.espncricinfo.com/ci/engine/match/467884.html,259
4,India,2,9 wickets,Vadodara,http://www.espncricinfo.com/ci/engine/match/467885.html,229
5,India,2,5 wickets,Bangalore,http://www.espncricinfo.com/ci/engine/match/467886.html,321
6,India,2,8 wickets,Chennai,http://www.espncricinfo.com/ci/engine/match/467887.html,107
7,New Zealand,2,24 runs,Napier,http://www.espncricinfo.com/ci/engine/match/667641.html,268
8,New Zealand,2,15 runs,Hamilton,http://www.espncricinfo.com/ci/engine/match/667643.html,277
9,tied,0,,Auckland,http://www.espncricinfo.com/ci/engine/match/667645.html,0
10,New Zealand,1,7 wickets,Hamilton,http://www.espncricinfo.com/ci/engine/match/667647.html,278
11,New Zealand,2,87 runs,Wellington,http://www.espncricinfo.com/ci/engine/match/667649.html,216
12,India,2,6 wickets,Dharamsala,http://www.espncricinfo.com/ci/engine/match/1030219.html,194
13,New Zealand,2,6 runs,Delhi,http://www.espncricinfo.com/ci/engine/match/1030221.html,236
14,India,2,7 wickets,Mohali,http://www.espncricinfo.com/ci/engine/match/1030223.html,289
15,New Zealand,2,19 runs,Ranchi,http://www.espncricinfo.com/ci/engine/match/1030225.html,241
16,India,1,190 runs,Visakhapatnam,http://www.espncricinfo.com/ci/engine/match/1030227.html,269
