,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,India,1,1 run,Jaipur,http://www.espncricinfo.com/ci/engine/match/441827.html,298
1,India,2,153 runs,Gwalior,http://www.espncricinfo.com/ci/engine/match/441828.html,401
2,South Africa,2,90 runs,Ahmedabad,http://www.espncricinfo.com/ci/engine/match/441829.html,275
3,South Africa,2,135 runs,Durban,http://www.espncricinfo.com/ci/engine/match/463150.html,154
4,India,2,1 run,Johannesburg,http://www.espncricinfo.com/ci/engine/match/463151.html,190
5,India,2,2 wickets,Cape Town,http://www.espncricinfo.com/ci/engine/match/463152.html,223
6,South Africa,1,48 runs,Port Elizabeth,http://www.espncricinfo.com/ci/engine/match/463153.html,142
7,South Africa,1,33 runs,Centurion,http://www.espncricinfo.com/ci/engine/match/463154.html,234
8,South Africa,2,3 wickets,Nagpur,http://www.espncricinfo.com/ci/engine/match/433586.html,296
9,India,2,26 runs,Cardiff,http://www.espncricinfo.com/ci/engine/match/578614.html,331
10,South Africa,0,141 runs,Johannesburg,http://www.espncricinfo.com/ci/engine/match/648651.html,217
11,South Africa,1,134 runs,Durban,http://www.espncricinfo.com/ci/engine/match/648653.html,146
12,no result,2,,Centurion,http://www.espncricinfo.com/ci/engine/match/648655.html,0
13,India,1,130 runs,Melbourne,http://www.espncricinfo.com/ci/engine/match/656423.html,307
14,South Africa,2,5 runs,Kanpur,http://www.espncricinfo.com/ci/engine/match/903593.html,298
15,India,1,22 runs,Indore,http://www.espncricinfo.com/ci/engine/match/903595.html,247
16,South Africa,2,18 runs,Rajkot,http://www.espncricinfo.com/ci/engine/match/903597.html,252
