,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,Sri Lanka,1,5 wickets,Dhaka,http://www.espncricinfo.com/ci/engine/match/434259.html,279
1,India,2,8 wickets,Dhaka,http://www.espncricinfo.com/ci/engine/match/434262.html,214
2,Sri Lanka,1,4 wickets,Dhaka,http://www.espncricinfo.com/ci/engine/match/434264.html,245
3,India,2,7 wickets,Bulawayo,http://www.espncricinfo.com/ci/engine/match/452147.html,243
4,Sri Lanka,1,6 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/452150.html,268
5,Sri Lanka,1,7 wickets,Dambulla,http://www.espncricinfo.com/ci/engine/match/455236.html,209
6,India,1,81 runs,Dambulla,http://www.espncricinfo.com/ci/engine/match/455237.html,268
7,India,2,6 wickets,Dambulla,http://www.espncricinfo.com/ci/engine/match/456663.html,171
8,Sri Lanka,1,8 wickets,Dambulla,http://www.espncricinfo.com/ci/engine/match/456666.html,103
9,Sri Lanka,2,74 runs,Dambulla,http://www.espncricinfo.com/ci/engine/match/456668.html,225
10,India,2,6 wickets,Mumbai,http://www.espncricinfo.com/ci/engine/match/433606.html,277
11,India,2,4 wickets,Perth,http://www.espncricinfo.com/ci/engine/match/518957.html,234
12,tied,0,,Adelaide,http://www.espncricinfo.com/ci/engine/match/518960.html,0
13,Sri Lanka,2,51 runs,Brisbane,http://www.espncricinfo.com/ci/engine/match/518963.html,238
14,India,2,7 wickets,Hobart,http://www.espncricinfo.com/ci/engine/match/518966.html,321
15,India,1,50 runs,Dhaka,http://www.espncricinfo.com/ci/engine/match/535795.html,304
16,India,1,21 runs,Hambantota,http://www.espncricinfo.com/ci/engine/match/564781.html,314
17,Sri Lanka,1,9 wickets,Hambantota,http://www.espncricinfo.com/ci/engine/match/564782.html,138
18,India,2,5 wickets,Colombo (RPS),http://www.espncricinfo.com/ci/engine/match/564783.html,288
19,India,2,6 wickets,Colombo (RPS),http://www.espncricinfo.com/ci/engine/match/564784.html,255
20,India,1,20 runs,Pallekele,http://www.espncricinfo.com/ci/engine/match/564785.html,294
21,India,2,8 wickets,Cardiff,http://www.espncricinfo.com/ci/engine/match/566947.html,182
22,Sri Lanka,2,161 runs,Kingston,http://www.espncricinfo.com/ci/engine/match/597925.html,187
23,India,1,81 runs,Port of Spain,http://www.espncricinfo.com/ci/engine/match/597928.html,119
24,India,1,1 wicket,Port of Spain,http://www.espncricinfo.com/ci/engine/match/597929.html,201
25,Sri Lanka,1,2 wickets,Fatullah,http://www.espncricinfo.com/ci/engine/match/710297.html,264
26,India,2,169 runs,Cuttack,http://www.espncricinfo.com/ci/engine/match/792289.html,363
27,India,2,6 wickets,Ahmedabad,http://www.espncricinfo.com/ci/engine/match/792291.html,275
28,India,1,6 wickets,Hyderabad (Deccan),http://www.espncricinfo.com/ci/engine/match/792293.html,245
29,India,2,153 runs,Kolkata,http://www.espncricinfo.com/ci/engine/match/792295.html,404
