,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,India,1,80 runs,Chennai,http://www.espncricinfo.com/ci/engine/match/433599.html,268
1,India,2,4 wickets,Port of Spain,http://www.espncricinfo.com/ci/engine/match/489221.html,217
2,India,2,7 wickets,Port of Spain,http://www.espncricinfo.com/ci/engine/match/489222.html,183
3,India,2,3 wickets,North Sound,http://www.espncricinfo.com/ci/engine/match/489223.html,228
4,West Indies,2,103 runs,North Sound,http://www.espncricinfo.com/ci/engine/match/489224.html,146
5,West Indies,1,7 wickets,Kingston,http://www.espncricinfo.com/ci/engine/match/489225.html,251
6,India,2,1 wicket,Cuttack,http://www.espncricinfo.com/ci/engine/match/536929.html,211
7,India,2,5 wickets,Visakhapatnam,http://www.espncricinfo.com/ci/engine/match/536930.html,270
8,West Indies,1,16 runs,Ahmedabad,http://www.espncricinfo.com/ci/engine/match/536931.html,244
9,India,1,153 runs,Indore,http://www.espncricinfo.com/ci/engine/match/536932.html,418
10,India,2,34 runs,Chennai,http://www.espncricinfo.com/ci/engine/match/536933.html,267
11,India,1,8 wickets,The Oval,http://www.espncricinfo.com/ci/engine/match/578619.html,236
12,West Indies,2,1 wicket,Kingston,http://www.espncricinfo.com/ci/engine/match/597924.html,229
13,India,1,102 runs,Port of Spain,http://www.espncricinfo.com/ci/engine/match/597926.html,311
14,India,2,6 wickets,Kochi,http://www.espncricinfo.com/ci/engine/match/676529.html,212
15,West Indies,2,2 wickets,Visakhapatnam,http://www.espncricinfo.com/ci/engine/match/676531.html,288
16,India,1,5 wickets,Kanpur,http://www.espncricinfo.com/ci/engine/match/676533.html,266
17,West Indies,0,124 runs,Kochi,http://www.espncricinfo.com/ci/engine/match/770121.html,197
18,India,1,48 runs,Delhi,http://www.espncricinfo.com/ci/engine/match/770123.html,263
19,cancelled,0,,Visakhapatnam,http://www.espncricinfo.com/ci/engine/match/770125.html,0
20,India,2,59 runs,Dharamsala,http://www.espncricinfo.com/ci/engine/match/770127.html,330
