,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,Zimbabwe,1,6 wickets,Bulawayo,http://www.espncricinfo.com/ci/engine/match/452146.html,285
1,Zimbabwe,1,7 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/452149.html,194
2,India,2,6 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/643665.html,230
3,India,1,58 runs,Harare,http://www.espncricinfo.com/ci/engine/match/643667.html,294
4,India,2,7 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/643669.html,187
5,India,2,9 wickets,Bulawayo,http://www.espncricinfo.com/ci/engine/match/643675.html,145
6,India,2,7 wickets,Bulawayo,http://www.espncricinfo.com/ci/engine/match/643677.html,167
7,India,2,6 wickets,Auckland,http://www.espncricinfo.com/ci/engine/match/656475.html,288
8,India,1,4 runs,Harare,http://www.espncricinfo.com/ci/engine/match/885959.html,255
9,India,1,62 runs,Harare,http://www.espncricinfo.com/ci/engine/match/885965.html,271
10,India,1,83 runs,Harare,http://www.espncricinfo.com/ci/engine/match/885967.html,276
11,India,2,9 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/1007649.html,173
12,India,2,8 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/1007651.html,129
13,India,2,10 wickets,Harare,http://www.espncricinfo.com/ci/engine/match/1007653.html,126
